,Wavelengths,Gains Planes,h,k,l,Refractive_index_modulation,Coupling_constant,Resonance_Wavelength,S_hkl
0,0.6293117934166920,16.719683293143900,1,1,1,0.000153752220625,0.0007679282142904,0.629,102.317
1,0.545,76.865640958134,2,0,0,0.0,0.0,,2.725
2,0.3853731957466680,26.14679614544460,2,2,0,0.0,0.0,,124.191
3,0.3286473655897620,61.30550540819450,3,1,1,0.0,0.0,,78.5528
4,0.3146558967083460,230.596922874402,2,2,2,0.0,0.0,,43.8047
5,0.2725,52.29359229088910,4,0,0,0.0,0.0,,104.643
6,0.2500631499189120,105.89132752324500,3,3,1,0.0,0.0,,69.6676
7,0.24373140954747700,384.3282047906700,4,2,0,0.0,0.0,,35.7135
8,0.2224953183028050,78.4403884363337,4,2,2,0.0,0.0,,91.6478
9,0.20977059780556400,150.47714963829600,5,1,1,0.0,0.0,,60.737