Material,Wavelength_nm,Gain,Lattice_parameter_A,Band_Gap_eV,Density_g_cm3
CdTe,0.7480000000000000,8.211390739253710,6.56,0.58,5.64
InSb,0.7480000000000000,8.238119416078060,6.63,0,5.38
PbTe,0.746,188.21790960904200,6.54,0.81,7.94
GaSb,0.7040000000000000,9.148721548688950,6.14,0,5.50
InAs,0.7000000000000000,9.022805536392910,6.11,0,5.53
CdSe,0.6990000000000000,8.955302788477400,6.14,0.51,5.49
PbS,0.686,8.416818629133830,3.654,0.4,8.15
InP,0.678,10.386921630318000,5.90,0.45,4.71
CdS,0.673,10.57492906530590,5.89,1.05,4.71
AlAs,0.654,19.249609170924800,5.68,1.5,3.7
Ge,0.654,11.722093936097500,5.67,0.66,5.28
GaAs,0.652,11.656139182009700,5.75,0.19,5.05
AlP,0.629,52.7260176248324,5.47,1.63,2.35
GaP,0.629,16.736263195324600,5.45,4.13,1.60
Si,0.627,51.94812632907450,5.44,0.61,2.31
ZnS,0.626,16.986167515692700,5.39,2.02,4.14
CrO,0.514,38.55732138074200,4.45,0,5.12
FeO,0.492,25.108550143017600,4.26,0,6.16
MnO,0.514,33.8052879150493,4.45,0.18,5.35
CuO,0.488,17.707461736505800,4.23,0,6.97
ScN,0.521,54.569076984078900,4.51,0,4.27
TiN,0.49,36.504466069988700,4.24,0,5.39
VN,0.476,28.179350212518500,4.12,0,6.15
CrN,0.484,26.39484925324180,4.19,0,5.96
MnN,0.478,22.25831531792990,4.14,0,6.47
FeN,0.485,10.09173555937050,4.20,0,6.27
CoN,0.487,9.590989466874660,4.22,0,6.45
GaN,0.493,7.752530169877080,4.27,0.42,7.14
NiO,0.484,18.805880486540600,4.19,2.30,6.76
MgO,0.486,465.5100138048740,4.19,4.43,3.63
CaO,0.555,101.91264011971700,4.81,3.63,3.35
SrO,0.597,29.070434294095500,5.17,3.27,4.99
BaO,0.6440000000000000,10.787524937146500,5.58,2.09,5.86
Li2O,0.492,294.3449178970390,4.65,4.90,1.97
LaN,0.6120000000000000,7.938216875683380,5.3,0,6.82
GdN,0.5750000000000000,4.83885850284651,4.98,0,9.23
HoN,0.561,4.017463302729370,4.86,0.09,10.38
LuN,0.545,3.2645910888507800,4.72,0.23,11.91
Lu2O3,14.51,0.81,10.26,4.02,9.78
Ho2O3,14.88,1.12,10.52,3.95,8.61
Gd2O3,15.29,1.55,10.81,2.94,7.63
La2O3,16.07,3.93,11.36,3.30,5.90